freqs,Z_factor,phase_factor
1.0,0.9877304115542058,-0.015424375242029317
4.0,0.9881112554923684,-0.050195425027176534
10.0,0.9876729265995607,0.09525666498751527
13.0,0.989111628362179,0.07891364114426971
21.0,0.9873362054945825,0.22638383716513394
31.0,0.9882837509013586,0.26928857374181586
44.0,0.9887863914002879,0.3827456095909922
64.0,0.985986391839271,0.7707392093832535
90.0,0.9889176646788401,0.3719757459466738
110.0,0.9923477763723793,1.5233158796632817
170.0,0.9873097601375017,1.1365910936050976
250.0,0.9888740570242835,1.4145150286758397
370.0,0.9866458368450487,2.232194940921338
520.0,0.9869076606555512,3.1177357131805867
750.0,0.9887990400495402,4.464455960324715
1000.0,0.9925027990772045,6.090121193304301
